Information,email_summary
"Guten Tag Frau Berger, 

vielen Dank für Ihre Nachricht und dafür, dass Sie Sich die Zeit genommen haben, uns Rückmeldung zu geben. 

Dürfte ich Sie fragen, ob Sie noch Zugang zu   auf Ihrem alten Handy haben? Damit Sie Ihre Karten bei einem Gerätewechsel auf ein neues Handy übertragen können, müssen Sie zuvor ein Backup Ihrer Karten in   erstellen, welches Sie dann auf Ihrem neuen Handy wiederherstellen können. Dafür gibt es das   Backup, eine Funktion innerhalb der   App, die es Ihnen erlaubt, Ihre Karten in unserer Cloud zu sichern und auf ein weiteres mobiles Gerät zu übertragen. Dies funktioniert folgendermaßen:

Backup auf Ihrem alten Handy erstellen:
1. Bitte gehen Sie zu den Einstellungen in   und wählen Sie dann ""  Backup"" (Android) oder ""Backup"" (iOS). 
2. Nun können Sie sich entweder mit Facebook, Google oder einer privaten E-Mail Adresse einloggen. 
3. Ihre Karten sind gespeichert, sobald Sie erfolgreich angemeldet sind (iOS), oder Sie können danach auf ""Backup jetzt erstellen"" gehen (Android).

Karten auf Ihrem neuen Handy wiederherstellen:
1. Bitte gehen Sie wieder über die Einstellungen in   zum   Backup auf Ihrem neuen Handy.
2. Melden Sie sich mit denselben Daten an, wie auf dem alten Gerät (wenn Sie beispielsweise Google benutzt haben, bitte wieder über Google anmelden und nicht über E-Mail Adresse).
3. Sobald Sie angemeldet sind, werden Ihre Karten automatisch wiederhergestellt, oder es öffnet sich ein Fenster mit den Optionen entweder ein neues Backup anzulegen, oder ein altes Backup wiederherzustellen. Bitte wählen Sie die zweite Option aus (Backup wiederherstellen) und danach sollten alle Ihre Karten automatisch auf dem neuen Handy zur Verfügung stehen.

Bitte beachten Sie, dass einige Nutzer Probleme hatten, die Karten über Facebook wiederherzustellen. Ich empfehle daher, entweder Google oder eine E-Mail Adresse zu verwenden, bis das Problem mit Facebook behoben ist. Des Weiteren würde ich Ihnen raten, darauf zu achten, dass Sie Sich auf Ihrem alten Handy aus Ihrem Backup Account abmelden, bevor Sie Sich auf Ihrem neuen Handy in den selben Account einloggen. 

Ich würde Ihnen außerdem sehr empfehlen, ab sofort das   Backup zu nutzen, damit Sie Ihre Karten wiederherstellen können für den Fall, dass Sie die App deinstallieren oder das Smartphone wechseln. 

Ich hoffe, ich konnte Ihnen damit weiterhelfen. Falls etwas nicht funktioniert, oder Sie weitere Fragen haben, können Sie uns gerne jederzeit erneut kontaktieren. 

Mit freundlichen Grüßen,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for your message and for taking the time to give us feedback. To transfer your cards to a new phone when you change devices, you must first create a backup of your cards, which you can then restore to your new phone. I hope I could help you with that. Your maps are saved as soon as you are successfully logged in (iOS), or you can then go on (Android). I therefore recommend using either Google or an email address until the problem with Facebook is resolved."
"Guten Tag Frau Berger, 

vielen Dank für Ihre Nachricht und dafür, dass Sie Sich die Zeit genommen haben, uns Rückmeldung zu geben. 

Dürfte ich Sie fragen, ob Sie noch Zugang zu   auf Ihrem alten Handy haben? Damit Sie Ihre Karten bei einem Gerätewechsel auf ein neues Handy übertragen können, müssen Sie zuvor ein Backup Ihrer Karten in   erstellen, welches Sie dann auf Ihrem neuen Handy wiederherstellen können. Dafür gibt es das   Backup, eine Funktion innerhalb der   App, die es Ihnen erlaubt, Ihre Karten in unserer Cloud zu sichern und auf ein weiteres mobiles Gerät zu übertragen. Dies funktioniert folgendermaßen:

Backup auf Ihrem alten Handy erstellen:
1. Bitte gehen Sie zu den Einstellungen in   und wählen Sie dann ""  Backup"" (Android) oder ""Backup"" (iOS). 
2. Nun können Sie sich entweder mit Facebook, Google oder einer privaten E-Mail Adresse einloggen. 
3. Ihre Karten sind gespeichert, sobald Sie erfolgreich angemeldet sind (iOS), oder Sie können danach auf ""Backup jetzt erstellen"" gehen (Android).

Karten auf Ihrem neuen Handy wiederherstellen:
1. Bitte gehen Sie wieder über die Einstellungen in   zum   Backup auf Ihrem neuen Handy.
2. Melden Sie sich mit denselben Daten an, wie auf dem alten Gerät (wenn Sie beispielsweise Google benutzt haben, bitte wieder über Google anmelden und nicht über E-Mail Adresse).
3. Sobald Sie angemeldet sind, werden Ihre Karten automatisch wiederhergestellt, oder es öffnet sich ein Fenster mit den Optionen entweder ein neues Backup anzulegen, oder ein altes Backup wiederherzustellen. Bitte wählen Sie die zweite Option aus (Backup wiederherstellen) und danach sollten alle Ihre Karten automatisch auf dem neuen Handy zur Verfügung stehen.

Bitte beachten Sie, dass einige Nutzer Probleme hatten, die Karten über Facebook wiederherzustellen. Ich empfehle daher, entweder Google oder eine E-Mail Adresse zu verwenden, bis das Problem mit Facebook behoben ist. Des Weiteren würde ich Ihnen raten, darauf zu achten, dass Sie Sich auf Ihrem alten Handy aus Ihrem Backup Account abmelden, bevor Sie Sich auf Ihrem neuen Handy in den selben Account einloggen. 

Ich würde Ihnen außerdem sehr empfehlen, ab sofort das   Backup zu nutzen, damit Sie Ihre Karten wiederherstellen können für den Fall, dass Sie die App deinstallieren oder das Smartphone wechseln. 

Ich hoffe, ich konnte Ihnen damit weiterhelfen. Falls etwas nicht funktioniert, oder Sie weitere Fragen haben, können Sie uns gerne jederzeit erneut kontaktieren. 

Mit freundlichen Grüßen,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for your message and for taking the time to give us feedback. To transfer your cards to a new phone when you change devices, you must first create a backup of your cards, which you can then restore to your new phone. I hope I could help you with that. Your maps are saved as soon as you are successfully logged in (iOS), or you can then go on (Android). I therefore recommend using either Google or an email address until the problem with Facebook is resolved."
"Guten Tag Frau Berger, 

vielen Dank für Ihre Nachricht und dafür, dass Sie Sich die Zeit genommen haben, uns Rückmeldung zu geben. 

Dürfte ich Sie fragen, ob Sie noch Zugang zu   auf Ihrem alten Handy haben? Damit Sie Ihre Karten bei einem Gerätewechsel auf ein neues Handy übertragen können, müssen Sie zuvor ein Backup Ihrer Karten in   erstellen, welches Sie dann auf Ihrem neuen Handy wiederherstellen können. Dafür gibt es das   Backup, eine Funktion innerhalb der   App, die es Ihnen erlaubt, Ihre Karten in unserer Cloud zu sichern und auf ein weiteres mobiles Gerät zu übertragen. Dies funktioniert folgendermaßen:

Backup auf Ihrem alten Handy erstellen:
1. Bitte gehen Sie zu den Einstellungen in   und wählen Sie dann ""  Backup"" (Android) oder ""Backup"" (iOS). 
2. Nun können Sie sich entweder mit Facebook, Google oder einer privaten E-Mail Adresse einloggen. 
3. Ihre Karten sind gespeichert, sobald Sie erfolgreich angemeldet sind (iOS), oder Sie können danach auf ""Backup jetzt erstellen"" gehen (Android).

Karten auf Ihrem neuen Handy wiederherstellen:
1. Bitte gehen Sie wieder über die Einstellungen in   zum   Backup auf Ihrem neuen Handy.
2. Melden Sie sich mit denselben Daten an, wie auf dem alten Gerät (wenn Sie beispielsweise Google benutzt haben, bitte wieder über Google anmelden und nicht über E-Mail Adresse).
3. Sobald Sie angemeldet sind, werden Ihre Karten automatisch wiederhergestellt, oder es öffnet sich ein Fenster mit den Optionen entweder ein neues Backup anzulegen, oder ein altes Backup wiederherzustellen. Bitte wählen Sie die zweite Option aus (Backup wiederherstellen) und danach sollten alle Ihre Karten automatisch auf dem neuen Handy zur Verfügung stehen.

Bitte beachten Sie, dass einige Nutzer Probleme hatten, die Karten über Facebook wiederherzustellen. Ich empfehle daher, entweder Google oder eine E-Mail Adresse zu verwenden, bis das Problem mit Facebook behoben ist. Des Weiteren würde ich Ihnen raten, darauf zu achten, dass Sie Sich auf Ihrem alten Handy aus Ihrem Backup Account abmelden, bevor Sie Sich auf Ihrem neuen Handy in den selben Account einloggen. 

Ich würde Ihnen außerdem sehr empfehlen, ab sofort das   Backup zu nutzen, damit Sie Ihre Karten wiederherstellen können für den Fall, dass Sie die App deinstallieren oder das Smartphone wechseln. 

Ich hoffe, ich konnte Ihnen damit weiterhelfen. Falls etwas nicht funktioniert, oder Sie weitere Fragen haben, können Sie uns gerne jederzeit erneut kontaktieren. 

Mit freundlichen Grüßen,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you for your message and for taking the time to give us feedback. To transfer your cards to a new phone when you change devices, you must first create a backup of your cards, which you can then restore to your new phone. I hope I could help you with that. Your maps are saved as soon as you are successfully logged in (iOS), or you can then go on (Android). I therefore recommend using either Google or an email address until the problem with Facebook is resolved."
"Guten Tag Frau Berger,

vielen Dank für die schnelle Rückmeldung. 

In diesem Fall befürchte ich leider, dass Sie Ihre Karten nicht auf Ihrem neuen Gerät wiederherstellen können, da Ihre Kartendaten nicht mit einem Cloud-Account verbunden sind und somit nicht wieder zugänglich gemacht werden können. Wir entschuldigen uns vielmals für die Unannehmlichkeiten, die Ihnen dadurch entstehen.

Ich würde Ihnen definitiv raten, ab sofort das   Backup zu nutzen, damit Sie Ihre Karten wiederherstellen können für den Fall, dass so etwas noch einmal passieren sollte. 

Bei weiteren Fragen oder Feedback können Sie Sich gerne jederzeit erneut an uns wenden.

Mit freundlichen Grüßen, 


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","thank you for the fast feedback. If you have further questions or feedback, feel free to contact us any time. I would definitely advise you to use the backup now, so you can restore your maps in case something like that happens again."
"Hi Pam,

Thank you so much for reaching out and taking the time to send us feedback! It is very much appreciated!

I'm afraid, I'm not quite sure if I understood your comment correctly. Could you explain again what exactly happened to your   app icon? Did it change or disappear? 

Many thanks and best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you so much for reaching out and taking the time to send us feedback! I'm afraid, I'm not quite sure if I understood your comment correctly. Could you explain again what exactly happened to your   app icon?"
"Hi Pam,

Thank you very much for the information! I'm sorry I misunderstood you at first!

It seems like you were previously running a rather old version of our app and now your   app got updated to the most recent version. We indeed changed our logo a couple of years ago from generic card image to the light red logo we use now. Hopefully you will enjoy our new design!

If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.

Best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you very much for the information! It seems like you were previously running a rather old version of our app and now your   app got updated to the most recent version. If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again."
"Hi Simon,

Thank you so much for reaching out and taking the time to send us feedback! We really appreciate it and are happy to hear that you like our app!

I'm afraid, I'm not sure I understood your comment correctly. Usually, if   is opened it should indeed open your   home screen, which is your card list. However if you exit the   app when your card is still open and keep the app open in the background, your last used card will be displayed if you open   again. We apologize for the inconvenience this may cause

If you have any further questions, feedback or if I misunderstood you, please don't hesitate to contact me again.

Best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","We really appreciate it and are happy to hear that you like our app! Usually, if   is opened it should indeed open your   home screen, which is your card list. However if you exit the   app when your card is still open and keep the app open in the background, your last used card will be displayed if you open   again."
"Hi Emily,

Thank you very much for the information!

I noted down leolimelove@gmail.com via email as your login option for the   Backup. We will delete your   Backup account as soon as possible. Please keep in mind that this is a manual effort though and therefore might take a little while. We apologize for the inconvenience. 

Have a nice day, 


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim",Thank you very much for the information! We will delete your   Backup account as soon as possible. We apologize for the inconvenience.
"Hi Kim,

Thank you so much for reaching out and taking the time to send us feedback! We really appreciate it and are happy to hear that you like our app!

We are aware that the current loading times of our app have increased over the course of the latest updates and I can assure you that our developers are already working on improving the speed and overall performance again for future releases. Until then, you could try keeping   opened in the background while shopping as a temporary workaround. This way, the app doesn't have to reload all your information (e.g. card pictures, points balances, etc.) completely each time it is opened and the loading times will be decreased significantly. 

In the meantime, I sincerely apologize for the inconvenience this causes and hope that you can use   in its full capacity again soon.

If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.

Best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","completely each time it is opened and the loading times will be decreased significantly. Until then, you could try keeping   opened in the background while shopping as a temporary workaround. In the meantime, I sincerely apologize for the inconvenience this causes and hope that you can use   in its full capacity again soon."
"Hi Tom,

Thank you so much for reaching out and taking the time to contact us about this issue! We're happy to hear that you're thinking about giving our   app a try!

Unfortunately, I have to tell you that it's not possible to transfer all your cards from the KeyRing application directly to  . This is due to the fact that we don't have access to KeyRings application programming interface. We sincerely apologize for the inconvenience this causes. However, in case you don't want to search for all your plastic cards again so that you can scan them into  , you always have the possibility to manually enter your card number instead.

If you have any further questions, suggestions for improvements or general feedback, please don't hesitate to contact me again.

Best regards,


Isabelle van Capelleveen
Customer Support

  GmbH
C-HUB / Hafenstraße 25-27
68159 Mannheim","Thank you so much for reaching out and taking the time to contact us about this issue! We sincerely apologize for the inconvenience this causes. However, in case you don't want to search for all your plastic cards again so that you can scan them into  , you always have the possibility to manually enter your card number instead."
